# OSU MPI Latency Test v5.6.2
# Size          Latency (us)
0                       0.43
1                       0.47
2                       0.46
4                       0.46
8                       0.47
16                      0.48
32                      0.48
64                      0.53
128                     0.55
256                     0.60
512                     0.87
1024                    1.01
2048                    1.30
4096                    3.88
8192                    4.87
16384                   6.61
32768                   9.26
65536                  14.55
131072                 25.00
262144                 45.76
524288                 89.35
1048576               178.64
2097152              1297.45
4194304              2893.80
# OSU MPI Bandwidth Test v5.6.2
# Size      Bandwidth (MB/s)
1                       4.24
2                       8.52
4                      17.15
8                      33.88
16                     59.99
32                    121.53
64                    207.46
128                   353.00
256                   610.91
512                  1347.64
1024                 2466.99
2048                 4156.34
4096                 1514.56
8192                 2351.70
16384                3070.54
32768                4108.26
65536                4941.94
131072               5543.89
262144               5910.37
524288               6119.33
1048576              6214.24
2097152              5882.51
4194304              1626.53

